NUM_AGENTS,PercentSpaceEmpty,|,CPP_OriginalADG_Time,CPP_SAGE_Time,CPP_FORTED_Time,CPP_MAGE_FORTED_Time,CPP_MAGE_SAGE_Time,|,CPP_OriginalADG_Comms,CPP_SAGE_Comms,CPP_FORTED_Comms,CPP_MAGE_FORTED_Comms,CPP_MAGE_SAGE_Comms
1160,0.40082644628099173,|,99.72690433263779,0.5927517116069794,0.07916592061519623,31.455380648374557,32.13520775735378,|,881833.625,881833.625,55890.5625,53067.6875,53067.6875
1170,0.4222222222222223,|,110.68209530413151,0.576427161693573,0.08049124479293823,33.14231403172016,33.79735843837261,|,837039.9375,837039.9375,54597.25,51640.1875,51640.1875
1180,0.41728395061728396,|,103.6768252402544,0.5849859267473221,0.07983461022377014,31.52311262488365,32.23479826748371,|,865353.0,865353.0,55342.25,52494.375,52494.375
1190,0.41234567901234565,|,110.50556528568268,0.598198190331459,0.08057698607444763,33.26812553405762,33.97000449895859,|,886026.8125,886026.8125,55644.0,52827.6875,52827.6875
1200,0.40740740740740744,|,115.1252858042717,0.6283819675445557,0.08251966536045074,34.56594316661358,35.238822758197784,|,910325.9375,910325.9375,57121.75,54284.625,54284.625
1210,0.4024691358024691,|,115.80328303575516,0.6444419324398041,0.08264583349227905,35.48848193883896,36.257765382528305,|,950749.875,950749.875,58951.5,56002.8125,56002.8125
1220,0.4234404536862004,|,113.18047128617764,0.6189415752887726,0.08082833886146545,33.83826394379139,34.589981868863106,|,927542.3125,927542.3125,59223.875,56020.25,56020.25
1230,0.41871455576559546,|,126.29787527024746,0.6882943361997604,0.08502353727817535,37.11978131532669,37.79871056973934,|,961083.0,961083.0,59778.4375,56724.9375,56724.9375
1240,0.4139886578449905,|,128.75059470534325,0.6712570935487747,0.08309188485145569,39.355222538113594,40.05398662388325,|,987085.4375,987085.4375,61338.0625,58158.5,58158.5
1250,0.40926275992438566,|,137.9920070618391,0.6883975267410278,0.08532971143722534,38.31268382072449,39.10614784061909,|,980902.6875,980902.6875,60425.9375,57407.0,57407.0
1260,0.4045368620037807,|,139.13348126411438,0.7306099683046341,0.08493004739284515,40.094285279512405,41.058108657598495,|,1041069.3125,1041069.3125,63634.875,60430.125,60430.125
1270,0.4250792213671345,|,146.97263418138027,0.7093266397714615,0.08879731595516205,42.25358283519745,43.096462085843086,|,1009781.125,1009781.125,63653.5625,60176.375,60176.375
1280,0.42055228610230877,|,131.3700598627329,0.7231660932302475,0.0874612033367157,38.38373948633671,39.33032976090908,|,1008744.3125,1008744.3125,62496.6875,59243.5,59243.5
1290,0.41602535083748304,|,161.73507899045944,0.7633166313171387,0.09016312658786774,42.951272025704384,43.90185359120369,|,1047008.625,1047008.625,64255.375,60926.625,60926.625
1300,0.4114984155726573,|,168.300458163023,0.7656258046627045,0.09162192046642303,46.7148744314909,47.68281964957714,|,1074037.3125,1074037.3125,65630.0,62281.6875,62281.6875
1310,0.4069714803078316,|,157.08959636092186,0.8491754829883575,0.0919429212808609,45.836867332458496,46.710545390844345,|,1149955.625,1149955.625,69489.1875,65854.1875,65854.1875
1320,0.40244454504300586,|,171.28818829357624,0.8446019142866135,0.09381604194641113,49.01968689262867,49.768631383776665,|,1145954.6875,1145954.6875,68612.125,65198.6875,65198.6875
1330,0.4227430555555556,|,159.033536195755,0.7728853523731232,0.09030333161354065,46.40932968258858,46.694163888692856,|,1081546.625,1081546.625,66558.25,63050.375,63050.375
1340,0.4184027777777778,|,173.8345299065113,0.8094069510698318,0.09173312783241272,49.78851597011089,51.10011227428913,|,1151188.5625,1151188.5625,70534.1875,66714.8125,66714.8125
1350,0.4140625,|,161.77378273010254,0.8670592904090881,0.09181991219520569,48.49749840795994,49.8687544465065,|,1209648.8125,1209648.8125,72479.625,68628.25,68628.25
1360,0.4097222222222222,|,184.75537744164467,0.8535811752080917,0.09546512365341187,52.29138673841953,52.95987957715988,|,1174745.0,1174745.0,69645.1875,66105.9375,66105.9375
1370,0.4053819444444444,|,173.497527256608,0.8448340594768524,0.09288401901721954,49.389239728450775,50.66555178165436,|,1189386.0625,1189386.0625,70131.0625,66695.0,66695.0
1380,0.40104166666666663,|,230.42423352599144,0.9853727370500565,0.10635240375995636,59.261977404356,60.34330362081528,|,1310171.8125,1310171.8125,76594.9375,72677.75,72677.75
1390,0.42107455226988755,|,198.28759962320328,0.8977804630994797,0.09624610841274261,54.416632264852524,55.488694563508034,|,1245781.9375,1245781.9375,75724.875,71515.625,71515.625
